,Average time to discovery,Classifier,Dataset,Extra Relevant record Found_0.1,Model,Recall_0.1,Recall_0.25,Recall_0.5,Recall_0.75,Recall_0.9,Work Saved over Sampling_0.95,td_1112,td_300,td_567,td_741,td_878
29,259.3953488372093,logistic,Multi_1,0.32558139534883723,stsb,0.43023255813953487,0.8604651162790697,0.9883720930232558,1.0,1.0,0.5950457727517501,634.0,586.0,438.0,63.0,337.0
30,200.97674418604652,logistic,Multi_2,0.6744186046511628,tfidf,0.7790697674418605,0.9069767441860465,0.9418604651162791,0.9534883720930233,0.9883720930232558,0.48896068928379105,1847.0,1546.0,1551.0,1039.0,1428.0
31,121.25581395348837,logistic,Multi_2,0.7906976744186046,sbert,0.8953488372093024,0.9534883720930233,0.9883720930232558,1.0,1.0,0.8088314485729672,758.0,952.0,855.0,84.0,102.0
32,240.40697674418604,logistic,Multi_2,0.46511627906976744,mbert,0.5697674418604651,0.8488372093023255,0.9883720930232558,0.9883720930232558,1.0,0.5912762520193862,679.0,658.0,640.0,280.0,641.0
33,162.7325581395349,logistic,Multi_2,0.5465116279069767,muse,0.6511627906976745,0.9418604651162791,1.0,1.0,1.0,0.6935918147549811,244.0,507.0,187.0,27.0,237.0
34,254.2093023255814,logistic,Multi_2,0.3372093023255814,mlongt5,0.4418604651162791,0.872093023255814,1.0,1.0,1.0,0.5708131394722671,270.0,351.0,235.0,117.0,119.0
35,135.45348837209303,logistic,Multi_2,0.627906976744186,labse,0.7325581395348837,0.9418604651162791,1.0,1.0,1.0,0.7000538502961766,439.0,517.0,12.0,20.0,5.0
36,231.8953488372093,logistic,Multi_2,0.4186046511627907,laser,0.5232558139534884,0.8953488372093024,0.9767441860465116,1.0,1.0,0.6445880452342488,437.0,656.0,278.0,18.0,28.0
37,201.0581395348837,logistic,Multi_2,0.5,mpnet,0.6046511627906976,0.8953488372093024,0.9883720930232558,1.0,1.0,0.6418955304254174,473.0,1308.0,631.0,50.0,468.0
38,244.62790697674419,logistic,Multi_2,0.4186046511627907,minilm,0.5232558139534884,0.8488372093023255,0.9651162790697675,1.0,1.0,0.626278944534195,685.0,1116.0,1309.0,62.0,398.0
